content,flag
发动机内部清洗(材料),0
项目：检查CD插内存卡不能播,1
更换水泵进水管O形圈,1
右前叶子板及前机盖烤漆,2
检查出风口出烫风(无异常),1
我是您的专属服务顾问:朱国宇电话:很高兴为您服务！,2
起动机难起动,0
更换玻璃水壶起动机,0
1估价:1000由于解决故障需要,1
注:前轮鼓包建议更换,1
发动机大修待定,0
检查空调暖风,2
客户诉：发动机机油道清洗,0
检查驾驶位置有水迹,1
1332保养套餐第三次消费,2
检查左后门中控不起作用,1
保养客户高级会员工时8.5折材料9.5折本次使用1桶机油客户使用200元工时卷?,2
左后杠粘贴倒车雷达,1
组合仪表更换(含匹配)?,2
检查发动机故障灯亮(已做清洗进气道处理),1
请车间检查并在必要时进行维修该车辆发动机故障灯亮,1
左前支柱总成,2
新宝来1.6L2V首保,2
节气门、油路脏客户暂不处理,0
发动机内部清洗495,0
您喜好方便的联系方式:手机随时,2
重点检查轮胎气压(左后轮缺气严重),1
检查（右前轮是否扎钉）?,2
发动机里边有汽油味,1
免拆清洗发动机喷油嘴(深化保养),0
且熄火后打不燃（压缩机损坏,1
"首保(美规车),客户无法用钥匙遥控将玻璃升起来",1
"春季服务活动检测,行驶不平路面天窗有异响,加油大油门行驶后部有呼呼声响",1
检查右后轮胎报警（扎钉漏气）,1
建议更换机油散热器密封圈,0
销售赠送坐垫?,2
拆装或更换前座椅纵向调节装置(每只),2
拆装匹配节气门,0
钣金及拆装,2
"温馨提示:1,建议客户下此保养?",2
用全合成机油补差价,1
车顶、侧围、两门、叶子板、钣金切割,2
拆装仪表台（换件详见清单,2
描述调整遮阳板,2
"发动机油保养,预计费用:847",0
项目：后保险杠拆装及修复,2
拆卸安装进气道并清洗发动机积碳,0
更换缸线和火花塞,0
免工时清洗喷油嘴进气门,2
检查车辆行驶打方向异响,1
发动机清洗保护套装,0
更换左前门玻璃升降开关故障排除,1
项目：更换火花塞一套,0
客户反映：凉车怠速车身抖动,1
燃油量滤清器已拆卸＋重新,2
更换发动机机油（3.5L桶）,0
检查行驶后部有异响,1
购一个小桶机油,2
建议更换发动机液压悬置变速箱悬置,0
拆装后杠安装左后雷达探头,2
项目：检查打不燃火,1
冷车时不好一启动就走(未见异常),1
检查打尽方向死火,1
"油路,火花塞,刹车油,雨刮片不修3肖",0
客户关爱300元代金券（燃油泵召回）,0
项目更换左侧前、后轮胎,2
项目：排气故障灯报警,1
检查80100KM车辆抖动,1
清洗发动机缸内积炭(包含缸壁及活塞顶部),0
4.5万公里换油服务,2
右前门槛外板整形S4,2
查DVD不显示,1
建议换左半轴油封漏油,1
发动机线路保养套餐(含材料费)原价247,0
注：空调格不换上次换过！,2
"近光灯左边调成右边一样高,要求查修",2
检查刹车系统漏油(维修多次(更换总泵,1
2012年冬季免费检查,2
检查热车发动机前端异响,1
赠送小工具,2
发动机抖动(100),1
雨刷片保养,2
后轮胎有偏磨,1
检查手刹车松,1
整车–一般,2
(1）检查胎压液位（旧件不要,2
检查加油门时车辆共振,1
发动机罩?,0
项目：钣金:前杠右前大灯,2
发动机机舱表面清洁养护（1112,0
更换气缸盖,0
发动机清洗及动力提升,0
建议每间隔20000KM更换火花塞,0
发动机保养B?,0
客述：感觉油门反应比较慢，起速慢,1
按5000公里保养(嘉实多4升),2
行车不平路面时底盘有响灯泡灯亮,1
检查转向机油漏没了,1
客户反映发动机灯报警,1
发动机机舱清洗及线束养护,0
检查后挡遮阳帘无法升降,1
更换所有火花塞（普桑、高尔、2000、3000）,0
机修检查空调不制冷,1
具体按保险公司定损来定,2
发动机支架橡胶No.2（底前侧）拆除和更换,0
左侧门槛及左后轮眉处做漆?,2
电脑检测发动机状况,0
发动机舱护理,0
更换平衡臂及拉杆,2
冬季免费关怀活动,2
下次保养时间(2017.9月)?,2
项目四轮轮胎防扎,2
修复:右后侧围,2
店庆活动检测(工种：机电),2
气缸盖罩密封垫(4G20和4G24),0
"少保单,身份证",1
10KX4785,2
误关闭，新建同名工单申请保修,2
中央扶手箱外接线插口损坏,1
调整发动机线束,0
项目：发动机解题维修,0
检查打方向是否异响,1
更换发动机冷却液（含排空气）?,0
灯光是否全,2
"发动机舱线路保护(活动价格,不参与工时费折扣)",0
更换右侧半轴防尘罩,2
检修线束（老鼠咬坏）,1
客户反映踩刹车吱吱响,1
检查过颠簸路面时感觉左前轮附近有杠杠的响声,1
更换火花塞（预计费用：668元）,0
"提示:空调格,空气格,火花塞",0
客户反映雨刷关不上,1
修发动机下护板换螺丝1套,0
车右后有异响，已试车,1
喷漆：后杠后盖后围右后叶,2
机油机滤(券),2
起步时感觉车没劲,1
清洗发动机内部(加注清洁剂),0
保养起动机3BD,0
SRP004火花塞保养，费用1412BSI,0
更换火花塞费用1327元,0
拆装集气箱及进气歧管,0
55更换发动机舱盖锁下部,0
提醒更换三元催化器及氧传感器,0
检查节温器a?,0
灯光报警颠路时出现,1
"中华联合保险客户,工时费200元",2
客户反映:更换四条轮胎,1
机油保养服务：更换机油火花塞,0
发动机及空调系统清洗,0
骑士燃油泵总成召回费用(工时管理费)(工种:机电)?,0
检查底盘行驶中右前方兹拉响,1
更换前档(工种:钣金),2
温馨提示1:右前轮胎扎钉漏气,1
更换燃油滤清器1396元,0
惰轮皮带轮,0
清洗机油泵滤网,0
描述参加春泽满路免费检测活动,2
更换右后门门外把手拉线,2
更换执行器电磁阀,0
发动机舱及空调滤芯清洁干净,0
进站检查漏气的声音是从刹车助力器出传出,1
一般维修:清洗节气门,0
右前车门与后尾盖受损位置抛光,1
右前叶右前门拆装整形,2
"提示:右前避震变形,左前轮胎起泡",1
拆检皮带轮,0
免费检测(1挡抖、检查制动、主门升降开关饰板)(工种:机电),1
检查天窗工作不顺畅,1
项目：前保险杠钣金,2
索赔化妆灯泡,2
P3081冷却液温度不可靠P2183散热器输出处发动机冷却液温度不可靠P2181节温器卡滞在打开位置,1
更换（美孚黑钻）机油、机油格、放油螺丝及垫片,0
内饰:发动机罩消声器拆装更换,0
项目赠送原车普通机油4.5L+机滤+发动机舱清洗+保护),0
洗油路电脑检测正常,2
更换方向机油液,2
拆装:左前雾灯格栅挡泥板(20元),2
P质检：刘和廖钣油：,2
更换火花塞（迈腾TSI）,0
变速箱液压油,2
160003200048000定期保养,2
项目：检查开空调有异响,1
更换火花塞费用:1449元,0
原因暖风机无货已转辉通维修,2
BMW原厂燃油系统免拆清洗套餐1348,2
保养赠送发动机外部清洗,0
右下裙、附件拆装,2
校正右后叶子板右后门,2
换正时皮带(B5、POLO),0
右前轮胎失压,1
更换或拆装火花塞,0
客户反映：右后轮防盗螺丝丢失,1
检查为历史缺火故障,1
左后门防撞条烤漆(P),1
更换发电机皮带的过渡轮,0
发动机深度清洗保护,0
前杠喷漆水箱框架喷漆(工种:油漆),2
发动机高温修复,0
钣金(更换右前杠卡板右前大灯支架),2
4.客户反映：空调清洗续保赠送,1
清洗发动机舱(40元)?,0
拆卸清洗电子节气门体,0
水箱内架整形8,2
更换前段消音器,2
按7500KM规范常规保养,2
检查冷车启动发抖(已清洗节气门),1
描述检查电子稳定系统故障,1
needfurthercheck.经检查发现左前门玻璃升降开关亮条脱落,1
档位1小时后就没有显示,2
钣金:检查右前后门升降异响,1
冷车加油门有异响,1
项目更换离合器分泵油管,2
建议清洗节气门、清洗空调,0
喷漆(太保),2
拆装后减震器（左）,1
注:左后轮有钉子漏气?,1
"火花塞""悦享""保养套餐SPARKPLUGS(费用预计：1428元)",0
更换节温器壳体?,0
前叶,2
制动液费用约为：,2
免费清洗发动机舱赠送四轮定位,0
代办验车（10年以内车辆）,2
大灯座喷漆,2
发动机润滑系统清洗230□,0
P0121节气门性能传感器,0
后盖、后围修复,2
更换油压传感器?,0
发动机罩前杠右前叶子板左前A柱?,0
检查主驾驶门开费劲换主驾驶门拉线,1
从动盘异常磨损,1
更换变速箱前油封(自动),0
检查车辆天窗无法关闭(已查修),1
检查雨刮喷水喇叭会响,1
项目：空气滤清器滤芯拆卸和安,2
火花塞4300元,0
右前门上幅(含防撞条):喷漆,1
客户反映车子右前大灯喷水头断了,1
（昊锐）更换汽油滤清器,0
45000公里保养(美孚),2
更换排气岐管及垫子(破口),1
经试车查看故障确实存在.,1
发动机内部清洗140,0
右后翼子板、右后杠、左前杠喷漆,2
车抖,1
更换后刹车片(费用1742元）,2
右前叶局烤,2
项目：M检查鸣笛喇叭故障,1
V3更换发动机舱线束,0
客户反映发动机电子风扇在发动机熄火后还会一直转动10分钟左右,1
一级维护(按20000公里规范)美孚,2
检修天窗关不到,2
更新燃油滤清器备箱备2只BMW燃油清洁剂,0
检查行驶时发动机故障灯闪烁,1
更换机滤、机油(D4),2
检查车辆行驶发动机异响,1
检查行驶中过颠路左前遮阳板有声,2
发动机气缸修复剂BJ,0
气缸体:清洗燃烧室积碳,0
"车辆被刮伤,(太保定损,本车三者)",1
后驱动桥保养.,2
一级维护(按10000公里规范)保养,2
前减震器更换(一侧),1
已清洗节气门体,0
隔热棉,2
右后轮胎扎钉漏气,1
检查胎压报警只检查漏气不要补,1
右前门玻璃导槽变形故障,1
发动机积碳清除?,0
更换火花塞30000KM保养内含,0
机盖等事故喷漆,2
两前弹簧减震器拆卸和安装,1
更换火花塞(1组个)268,0
更换.气缸盖总成(γ发动机),0
预约客户享受工时折扣（8折）,2
拆卸和安装或更新主动转向控制转向器导线组,2
检查左前玻璃下降有异响B,1
检查左前升降机异响,1
诊断ABS故障灯亮,1
检测左前轮路况不好有异响,1
项目：太平标的右前部受损待定损,1
领机油滤清器,0
DQ200发动机程序升级(1.4T)W,0
客户反映下长坡踩刹车转速高,1
建议更换油底壳及放油螺丝,0
全车美容除胶,2
左下护板紧固,1
取力器(四驱),2
检查左前部有沙沙异响,1
建议下次保养56000KM或者半年,2
该车行驶或原地着车打方向时底盘处有“VV”异响声,1
客户述：提示机油保养到期更换,2
检查右后门灯常亮,1
前机盖，叶子板钣金,2
左前主驾驶内保险盒卡扣松动,1
拆卸和安装或更新左前或右前带锁扣总成的安全带,2
更换左前拉杆防尘套,2
发动机罩及合叶漆),0
检查三角警告灯,1
更换全车锁(机修),2
更换燃油滤清器FUELFILTER,0
更换左后尾灯壳,2
检查两个座椅松动,1
清洗节气门1.8T,0
项目发动机舱清洁免费,0
添加发动机剂,0
EMJ发动机润滑系统清洗养护,0
检查行驶开空调有异响,1
更换门玻璃?,2
回油管总成Ⅰ,0
赠送500元维修基金,2
发动机胶边线束维护,0
发动机总成:机油带走,0
更换正时皮带组件WLS05WLS06,0
机械循环清洗更换波箱油,2
客户反映：后行李箱锁不能自动开启、关闭,1
"发动机总成,其它",0
更新左前减震支柱(索赔),1
经过重新处理后故障没有出现,1
"发电机皮带,电瓶桩头,电瓶电压",0
更换发动机上边壳,0
"客户反映走烂路,副驾驶位置吱吱异响",1
损,2
机油道清洗(5月活动),2
检查音响有共振声,1
检查左前轮胎压偏低,2
车间检查发现右前拉杆胶套开裂,1
车主反映排气管仆仆声,1
GPS会自动报警,1
46360前制动片1825单面磨损不均匀更换前刹车片,1
检查后备箱弹起费劲,1
发动机软件升级（24U7）,0
发动机燃烧室积碳控制,0
已提醒四轮定位?,2
预估价：806?,2
更换半轴及发动机皮带及风扇线束及右前防溅,0
检查电瓶漏液,1
检查行驶过程中底盘有异响,1
检测刹车不回位(低速行驶有异响),1
漏防冻液处理,1
发动机油道深层清洗,0
加装发动机隔音棉,0
检修行驶中油位指针归零,2
钣金:两前叶、前保修复、后保左拆装,2
清洗节气门体及油路保养,0
检测右后门锁不住AJ3,1
"发动机油保养（6.5L,5W30)",0
车辆次年续保推荐,2
更换机油机滤（优选机油发动机养护,0
检查点烟器不工作(已处理),1
为了提高维修收费的合理性和透明度,2
客户反映:副驾驶座椅不能调节,1
检导航没信号(紧固线头),1
项目：检查客户反馈冷却液少,1
检查踩刹车时有咯噔响声,1
检查倒车时导航偶尔黑屏,1
项目：更换左后小吊杆,2
"温度感应器没显示,室内一开空调时比较臭",1
"电气系统:汽油,排气,发动机电子:",0
右前轮胎鼓包建议即时维修（注,1
客户反映低速的时候车身抖动,1
轮盘或轮胎（单个车轮）,2
检查客户反映:车辆倒车时显示倒车摄像机损坏,1
检查远光散,2
"两前轮顶胶损坏,造成异响",1
项目球头铰链养护,2
拆正时皮带检测,0
更换拆装后减震器弹簧(一侧),1
受损位：右后门，右后叶,1
助力油亏,2
发动机润滑系统清洗养护及加注积碳清洗剂1,0
项目：更换四轮防盗螺丝,2
描述客户描述100码以上方向盘发抖,1
常规检查、清空调滤清发动机仓检查防冻液、空调,0
单件,2
提速不畅,1
更换火花塞及点火线圈胶套,0
清洗喷油器及燃油系统,0
"平安非本厂两次,缺身份证,代",1
免拆清洗节气门、喷油嘴,0
门轴铰链防锈润滑,2
检查轮胎是否有漏油,1
更换3缸电话线圈,2
清洗节气门3.0T,0
检查右前倒车镜壳松动,1
大修发动机总成(拆解缸盖),0
经检查离合器软管漏油,1
进气歧管清洗养护,0
左底大边左前后门左后叶子板后杠右底大边喷漆,2
清洗节气门及燃油系统免拆养护二件套装,0
客户描述:启动后感觉消声器有漏气声?,1
检查行驶时有哄哄响,1
拆装更换电动燃油泵,0
描述客户反映右侧车门漏水,1
右前稳定杆更换,2
1.保养2.倒车有异响3.调准时间4.右前近光不亮,1
"SRP011燃油滤清器保养,费用预计:",0
清洗发动机舱及流水槽,0
更换空调滤芯及通道清洗,2
更换前杠内衬喷水壶喷水电机,2
免费清洁空调滤芯及鼓风机滤芯,1
拆装前杠左前杠塑修,2
换节气门体，编程,0
更换两侧气门室盖垫2.83.03.2,2
常规保养:换机油二滤.检查底盘悬挂,2
"洗车,电脑检测",2
检查偶尔出现后面扬声器在放歌,2
检查左后座椅靠背异响,1
清洁节气门（原厂）,0
更新转向柱(20140126,2
抬发动机换水泵,0
更换(合成)机油滤清器、机油,0
有时不着车未见异常,1
更换音响控制单元－音乐不播放,1
变速器(自动档):变速器油底壳及或垫片拆装更换处理漏油,1
用户反映收音机屏幕不显示,1
左前杠及大灯抛光(黑色抛掉),1
检查灯光、防冻液报警,1
发动机润滑修复深化保养（每1万,0
建议更换发动机隔热棉,0
更换转向机电磁阀（含定位）,0
拆装节气门体(20),0
清洗节气门体及汽油添加剂2,0
检修左前部巅路异响,1
检查油耗高11个油,2
钣金：配合拆装整形,2
客户反映低速打左转向时有异响,1
发动机积碳清洗(核桃砂),0
检测水泵漏水已订货(101),1
后座椅调节装置拆除和更换(工种:机电),2
免责声明：客户将车辆交付我司时,2
更换机油服务、空气滤芯、更换刹车油、更换火花塞、清洗节气门喷油嘴,0
注:左前半轴球头客户,2
发动机润滑系统清洗养护约760R,0
客户反映:左前座椅靠背感觉发热,1
检查客户反映车辆往右跑偏,1
更换机油冷却器（含拆装水管）,0
其它：1估价:6443由于解决故障需要,1
小机油在后备箱用掉,1
节气门清洗养护（赠送）,0
客户反映定速控制开关损坏，需要更新,1
项目：润滑维护,2
项目S润滑保养(工时材料包干),2
发动机抗磨合成保护剂,0
工时费210材料费286总体费用496,2
排放和加注制动回路保养,2
清洗油箱（带燃油泵）,0
"PCNJ,客户强烈抱怨车子在行驶时方向盘抖动严重",1
拆发动机检查,0
新宝来15000km定期保养套项,2
更换前部中央空调出风口(经技师检查出风口脱漆,1
如果您有需要,2
更换空滤及发动机皮带,0
建议发动机清洗?,0
后轮轮胎响建议换轮胎车主先不换,1
更换火花塞(组),0
客户描述：提速比较慢,1
四轮平衡换位建议换火花塞,0
事故处理拍照定损分解报料,2
发动机盖:修理(~3050CM,0
免拆清蒸发箱及风道,2
更换火花塞四只(桑系列,0
换挡机构拆装（索赔）,2
左后轮胎内侧偏磨到极限,1
方向盘偏左（螺丝松了）,1
更换发动机凸轮轴后盖及密封圈,0
4万公里保养更换机油机滤手动变速箱油制动液火花塞,0
执行5000KM保养,2
车身脏外观无法确认,1
检查加油行驶时有嗒嗒异响,1
更换暖风进水管(三通暖风水箱),1
10K喷油器清洗剂(补)?,0
经检查倒车影像摄像头内部故障,1
客户确认非强制保养项目:更换机油、空调滤、火花塞、转向助力油,0
后纵梁校正（轻度,2
发动机油保养极致0w30,0
报修低速车抖,1
车门主体喷漆（右后,2
其它：后部碰撞事故（人寿三者：张,1
描述行驶中左后轮位置处异响,1
拆装右侧下边梁,2
BG105+110发动机保护套餐,0
下裙边修复及座椅,2
更换汽滤及燃油泵,0
调整空调系统压力,2
客户反映机油灯亮,1
检查左后升降玻璃的按钮损坏,1
前杠及其附件拆拆装,2
描述四轮调位,2
描述检查悬挂系统,2
调整右前门(难关),1
更新燃油滤清器(预估价1391RMB,0
拆卸和安装或更新燃油滤清器部件,0
项目更换汽油滤清器(350)￥125,0
清洗发动机内部6.57,0
安装仪表板中央上饰板总成,2
"前保,后保,机盖,后盖,前框架,后围(工种:机电)",2
更换节温器芯431120,0
后保皮整形,2
更换燃油滤清器FUELFILTER(费用预计:2127元),0
检查方向盘向左偏,1
更换正时皮带套餐,0
拆装更换遥控电池,2
清洗发动机油路，添加剂?,0
“悦享”保养套餐燃油滤清器保养费用:562元,0
描述更换正时齿轮,0
拆洗节气门体并编程20%,0
更换机油二滤、垫片、电瓶保护,2
更换右后转向节轴承减震器,1
尾箱开关不回位,1
"更新右后轮胎先出账3条,预计费用:3500元",2
清洗油路积碳及节气门,0
建议更换节温器壳体,0
更换右前电动升降器开关,2
换件:右后叶、右后轮眉、右后尾灯(内外)、右后三角玻璃,2
中保负责1000(700)元,2
发动机清洗养护四合一,0
低速倒车打方向底盘异响,1
检查倒车是有异响,1
整车概述:发动机:车身:,0
项目更换火花塞,0
检查CD有异响,1
增:更换左后减震缓冲块,1
更换后制动片150,2
更换进右前减振,1
联拓发票留存?,2
"零件价格：2020.71,项目价格：430.77",2
双钱大灯有时不亮,1
后门补漆(中饰条以上)右侧,2
更换车顶前部眼镜盒总成?,2
发动机润滑系统洗涤剂,0
线束清洗,2
清洗暖风通道深度卡,2
发动机舱养护上光,0
燃油泵:更换PVC阀,0
检查汽油泵着车声音大检查正常,1
(轮胎固特异厂家发),1
处理大灯喷水泵不回位,1
检查刹车油防冻液节气门,0
项目：110KM行驶加油时车身振,1
加装发动机下护板(工种:机电),0
拆装或更换火花塞(1缸),0
客户反映:车辆提示机油报警,1
建议更换变速箱油刹车油火花塞防冻液花粉,0
发动机盖整形棚顶修复,0
"""纯正油礼”3次",2
起动时发动机部分异响检查正常,1
项目：30000公里定期保养,2
更换机油尺导套,0
拆装仪表台更换蒸发箱（泄漏）,1
更换前平衡杆胶套后故障排除,1
发动机线束保养(会员卡抵用),0
拆装更换发动机机爪垫,0
接长安公司通知对该车进行发电机召回更换,0
火花塞积碳清洗,0
发动机活塞养护,0
左前杠及四门边点漆,2
节气门清洗一次?,0
检查行驶中有异响（嗡）,1
68缸发动机机舱清洗,0
燃油滤清器:免拆清洗喷油嘴及油路套餐,0
来店以后检查发现火花塞主修人：幕东生,0
1.建议更换前刹车片空滤空调滤右后轮补胎,2
免工时清洗空调系统蒸发箱,2
项目：前部事故拆解平安,2
更换空调冷凝器托架+回油管,0
拆卸和安装清洗节气门阀体?,0
项目发动机机舱清洁,0
检查灯光尾盖小灯更换刹车灯泡,2
客户反映两后门车窗玻璃无法升降,1
发动机气缸修复,0
发动机添加,0
更换火花塞132K套餐,0
负离子汽车空调口罩(赠送),2
装复四门迎宾踏板,2
部分配备1.4T发动机自动变速箱软件升级活动,0
客户反映怠速时发动机有点抖,1
2.02.4升发动机水泵垫片O型圈,0
两后轮偏磨建议四轮定位后轮刹车片快磨损到极限建议更换左后轮有,1
更新密封气缸盖,0
清洗节气门喷油嘴进气燃油系统,0
拆装更换右后减震缓冲胶块,1
清洗节气门体(polo),0
拆装前杠导流板,2
建议更换左前发动机护板,0
更换:右喷水器及盖右前轮内衬,2
检查刹车油符号报警,1
发动机四合一保养,0
项目：5000公里常规保养（客户要求只更换机油机滤）,2
更换进排气凸轮轴位置电磁阀,0
检查凉车左前异响继电器工作声音(无异常,1
清洗润滑发动机,0
更换冷媒,2
检查右前轮悬挂及轮胎,2
发动机灰尘吹吹,0
检查清洗节气门体,0
207\307\308\408\20081.6首保免费换油?,2
清洗vvt电磁阀,0
机油保养费用约1150+32.5元,2
更换发动机养护剂,0
事故车，后保被撞，PDC损坏，后,1
客户反映:起步时刹车有异响,1
人保事故垫付后杠没修订免赔,2
备件:建议更换皮带涨紧器后部制动盘片空滤少一个卡子添加冬季玻璃水,1
加装空调格(工种:机电),2
"众诚1617元乘用车公务车新车系统无资料,故用时间长下工单LMGDG1C87F发动机及涡轮增压厂家自带",0
更换左中网亮条、中网上盖板、右后叶子板、右后围整形喷漆,2
销售部新车换油（LSVRX61T2F2035132),2
朱雄辉留修业务车,2
不更换变速箱油及防冻液及刹车油,2
发动机线路保养AG,0
2.SRP003更换空气滤芯（赠送）,2
检测爆震传感器故障、已消除,1
顾客反映方向机漏油,1
旧件客户是否回收(否),2
换发动机油底垫,0
项目活塞环发动机组更换,0
#发动机润滑系统清洗保护,0
天天半价—发动机机舱清洁养护,0
检查右前门有异响(已解决),1
项目建议更换防冻液,2
15000KM养护套餐(节气门清洗+免拆进气系统清洗剂),0
检查大雨时四门车窗胶条漏水,1
发动机线路清洗（658元）,0
更换机油机油滤清器滤芯?,0
项目更换机油集滤器?,0
更换机油、四滤发动机清洗保护,0
调修后堵和左后通风口,2
检查天窗左侧密封条脱落,1
左后叶子板.左后门.后杠喷漆,2
紧固调校左后杠（松动）,1
"零件价格：0.00,项目价格：66.60",2
大灯随动转向失灵,1
更换节温器9,0
右大灯进水,1
2014冬季免费检测活动,2
检查两气门室罩盖垫渗油,1
发动机盖喷漆右前杠补漆,0
"车子左前门锁不上,且水温灯亮",1
客户描述：不平路面踩刹车前部异响,1
发动机润滑养护套餐250+20,0
检查风扇异响怠速熄火后,1
提供市内免费取送车服务,2
引擎内部清洗机发动机保护,0
52000公里定期保养,2
处理雨刮不喷水,1
更换机油三滤(合成油),2
加注保护剂,2
高尔夫A6自动6万km定期保养,2
更换铰链总成发动机罩(两侧),0
客户反映车辆在宜春宝泽检查发现“真空管”有机油,1
客户反映1、右前雷达会误报警,1
06、免费检查轮胎气压,2
报案号:0120,2
诊断(检查空调不制冷),1
下次保养里程:83630,2
更换发动机油保养服务,0
更换发动机下护板车牌托架中网,0
发现车辆难启动是高压泵故障导致,1
"尊敬的客户,慈溪宝恒店正在推行BMW“悦享”保养套餐活动，12个保",2
诊断：左前门摇窗机升降有异响,1
描述杨继超,2
左前轮冒出白烟之后车内有胡臭味(工种:机电),1
燃油系统清洗+节气门清洗,0
左后门把手常出现拉开后回不到位,2
拆装后刹车片(异响),1
1估价:4569由于解决故障需要,1
加装档泥板(E405),2
"“炎炎夏日,优惠送不停”冷却系统升级免工时",1
检修打方向异响?,1
忠诚度之悦带金卷,2
检查后面异响(之前检查过),1
检查左后门下饰板松旷,1
序号：2索赔单号：SZ20170409862故障描述：该车是：右前玻璃朝一边倾斜、导致摇机不能升降、右前门玻璃卡子螺母滑牙、导致摇机拆不下来、只有损坏摇机及卡子鉴定结果：经检查是：右前门电动升降器总成、执行元件失效更换后故障排除故障件代码：4221998换表里程：0.00销售日期：2014.11.13,1
"销售部赠送,补差价270元",1
更换发动机下底板螺丝,0
isaninternalconnectionproblemsleadtofailure,2
全合成油灰壳(出3升),2
更换机油(优选TSI)、机油格,2
DQ200变速箱(1.4T发动机),0
项目：烤漆前后杠、左后门（中保）,2
项目发动机大修,0
钣金换件:右尾灯,2
拆装右前门饰板异响,1
项目发动机漏水建议拆检,1
发动机外部清洁四合一保养,0
项目：2015年春季服务,2
左前缸盆,2
机油四滤节气门喷油嘴三元引擎保护汽油添加剂?,0
拆洗节气门1.62.0,0
更换发电机皮带（折后价）,0
"客户反映:发动机故障灯亮,已维",1
发动机进气系统、燃油系统清洗,0
机油选择：优选机油4L、（自带一升）机油滤清器、放油螺栓,0
更换机滤、机油（美5升）,2
更换.发电机总成(Nu发动机),0
检查急加速抖动蛮厉害,1
建议更换后刹车片、两后减震、两后轮胎、雨刷片、空气滤、空调滤、两后座椅卡子、大保养项目,1
发动机盖油漆[明],0
其它：检查EOBD灯报警,1
检查发动机渗油情况(先报给SA),1
SRP011燃油滤清器保养710,0
检查启动时前部异响,1
描述副驾遮阳板化妆镜脱落,1
喷漆件修复,2
保险维修8,2
更换机油机滤40000KM定期保养,2
喷漆左前半杠,2
清洗：进气道,2
检查悬挂系统（暂无现象）,2
更换后保、后保下蒙皮,2
项目：保修前油浮子(油位指?,2
左前升降器开关无法控制右后门升,1
换两前安全带和调节器右后门锁,0
清洗节气门座体拆卸＋重新安装,0
办卡工本费,2
检查玻璃水壶防冻液是否漏检查排气管是不是漏气,1
清洗喷油嘴进气道节气门,0
停车费用,1
建议每2万公里更换火花塞,0
项目更换火花塞(4个),0
剩余机油客户带走（0.5L）,2
检查底板、客户反映挂档困难,1
转向机漏油,1
检查左前近光灯不亮（更换灯泡）,1
天窗有时无法关闭,1
客户反映：往右打方向有异响,1
E拆装更换左前轮胎并做动平衡(含编程、胎压检测),2
发动机全效保护剂192,0
发动机养护(清洗+养护),0
温馨提示：左前轮钢圈破裂，以免扩大损失，客户暂不处理,1
项目更换节温器套件,0
更换发动机仓盖,0
更换全合成机油6L机油格发动机清洗保护四合一,0
"前稳定杆总成,?",2
音响总成,1
须更换制动油壶盖（烂）、清洗节气门脏,1
拆清洗发动机积碳(6缸)2560元,0
更换发动机盖左侧铰链,0
火花塞保养费用约为705.00,0
排气支管及排气管调整,0
"零件价格：105981.63,项目价格：5128.29",2
客户陈述:倒车时感觉车尾部有异响,1
钣金修复拆装,2
客户反映：车辆打方向有异响,1
右前胎压显示过低(已加气),1
洗节气门(50TU),0
右前门:喷漆钣金,2
免费清洗车辆(人保保险),2
自费更换机油格,2
"客户反映车辆刹车时试过几次发出“嘎啦嘎啦”的声音,试车暂未试到异常建议",1
"汽油,排气,发动机电子:汽油,排气,发动机电子:",0
拆装前杠前盖前档玻璃,2
项目：发动机线束,0
请检查：发动机故障灯常亮经检查故障由于国内油品达不到美规车的,1
检查熄火时发动机异响,1
发动机抗磨剂(60000KM内),0
检查低速时有挫动感,1
项目检查主驾驶电动座椅不好使,1
发动机舱清洁养护428,0
"正时皮带已提示,用户过些时间换",0
检查蓄电池难着车,1
清气节气门再观察,0
销售送464,2
前片9后片9前盘27.8后盘9.8,2
左前后门、右后门喷漆(含门把手饰条),2
下次30439公里保养,2
悦享保养套餐：汽油滤芯保养,2
"140,000KM保养(恶劣)",2
拆装火花塞四,0
前杠点漆,2
项目清除燃烧室积碳及火花塞,0
油底壳:油底壳垫片或密封填料拆装更换(2油底壳),2
检查副驾驶杂物箱变形,1
建议下次更换火花塞,0
客户描述后备箱灯不亮,1
纳米油清洗发动机润滑系统,0
客户反映车辆发动机上部有漏油,1
人保三者交钱提车,2
更换燃油滤清器[3000],0
客户描述左前门集控锁不住,1
20AE更换燃油泵控制单元,0
项目：添加原厂G17汽油清洁剂,2
YD更换发动机前罩盖总成,0
检查车速120码方向抖,1
JE清洗更换节气门体,0
更新燃油滤清器(预估价1052,0
其它：1.客户反映：更换左前门玻璃太保划痕,1
检查喇叭是否单音,1
建议清洗节气门进气道,0
客户委托修理,2
描述检查座椅调节开关无法正常使用,1
检查轮胎亏气,1
使用(销售)机油保养劵抵扣800元、,2
拆装更换左下弯臂发动机底护板,0
客户反映发动机有响,1
清洗保护节气门,0
前杠拆解2344,2
更换组合皮带涨紧轮及惰轮,1
后背箱的机油用掉,1
拆装后减震器（悬挂系统双侧）,1
电瓶老没电,2
检查车辆没劲（未修）,1
检查座椅上下调节开关不工作(检查正常),1
左前后门饰条油漆,2
按30000公里规范常规保养(2)桶,2
做漆:左前后门后杠(3),2
